I, [2024-11-19T10:35:13.018690 #28200]  INFO -- : Processed file: example_file
E, [2024-11-19T10:35:13.019066 #28200] ERROR -- : Error: Example error
I, [2024-11-19T10:35:13.022666 #28200]  INFO -- : Processed file: example_file
E, [2024-11-19T10:35:13.023016 #28200] ERROR -- : Error: Example error
I, [2024-11-19T10:37:34.801108 #10216]  INFO -- : Processed file: example_file
E, [2024-11-19T10:37:34.801497 #10216] ERROR -- : Error: Example error
I, [2024-11-19T10:37:34.801778 #10216]  INFO -- : Processed file: Item initialized: RbParser::Item - title: Товар 1, price: 150, subtitle: No subtitle available, image_url: default.jpg
I, [2024-11-19T10:37:39.094633 #10216]  INFO -- : Processed file: Item initialized: RbParser::Item - title: Enormous Leather Wallet, price: 590.0, subtitle: Necessitatibus quia harum id error., image_url: vel.jpg
I, [2024-11-19T10:37:39.099407 #10216]  INFO -- : Processed file: example_file
E, [2024-11-19T10:37:39.099684 #10216] ERROR -- : Error: Example error
I, [2024-11-19T10:37:39.099937 #10216]  INFO -- : Processed file: Item initialized: RbParser::Item - title: Товар 1, price: 150, subtitle: No subtitle available, image_url: default.jpg
I, [2024-11-19T10:37:39.102108 #10216]  INFO -- : Processed file: Item initialized: RbParser::Item - title: Lightweight Steel Bottle, price: 119.78, subtitle: Earum delectus consectetur impedit quasi., image_url: iure.jpg
I, [2024-11-19T10:39:23.539537 #11512]  INFO -- : Processed file: example_file
E, [2024-11-19T10:39:23.539919 #11512] ERROR -- : Error: Example error
I, [2024-11-19T10:39:23.540081 #11512]  INFO -- : Processed file: Item initialized: RbParser::Item - title: Товар 1, price: 150, subtitle: No subtitle available, image_url: default.jpg
I, [2024-11-19T10:39:24.872222 #11512]  INFO -- : Processed file: Item initialized: RbParser::Item - title: Incredible Concrete Computer, price: 448.04, subtitle: Rem eligendi inventore autem quis., image_url: est.jpg
I, [2024-11-19T10:39:24.873357 #11512]  INFO -- : Cart initialized with an empty items array
I, [2024-11-19T10:39:24.874080 #11512]  INFO -- : Processed file: Item initialized: RbParser::Item - title: Durable Copper Bag, price: 907.5, subtitle: Ipsam sequi saepe distinctio quia., image_url: saepe.jpg
I, [2024-11-19T10:39:24.874308 #11512]  INFO -- : Item added to cart: RbParser::Item - title: Durable Copper Bag, price: 907.5, subtitle: Ipsam sequi saepe distinctio quia., image_url: saepe.jpg
I, [2024-11-19T10:39:24.874849 #11512]  INFO -- : Processed file: Item initialized: RbParser::Item - title: Gorgeous Plastic Shoes, price: 173.92, subtitle: Explicabo ut tempora harum aut., image_url: ducimus.jpg
I, [2024-11-19T10:39:24.875065 #11512]  INFO -- : Item added to cart: RbParser::Item - title: Gorgeous Plastic Shoes, price: 173.92, subtitle: Explicabo ut tempora harum aut., image_url: ducimus.jpg
I, [2024-11-19T10:39:24.875593 #11512]  INFO -- : Processed file: Item initialized: RbParser::Item - title: Sleek Rubber Shirt, price: 239.17, subtitle: Vel numquam natus dolor sint., image_url: fugiat.jpg
